Summary,Issue Type,Description,Priority,Labels,Story Points
"[BE-1] Ingestion pipeline — website crawl + pricing JSON","Story","Branch: be/ingestion-pipeline
Repo: ata_rag_be
Depends on: main scaffold (Flyway/pgvector/Docker)

Scope:
- Recursive crawl of https://akademiata.pl (HTML + PDF)
- Deny login/admin/search/feed/tag/category paths; do NOT use akademiata.edu.pl Moodle as base
- Clean HTML → Markdown → heading-aware chunking + metadata (url, title, section, language, hash, source_type=website)
- Separate pricing ingest from Google Apps Script JSON (PRICING_API_URL / akademiataPrices); source_type=pricing; citation URL https://akademiata.pl/kalkulator-czesnego/
- Content-hash incremental re-embed; daily scheduled sync (~03:00)
- Persist crawl_runs + pricing job runs; failed URL reporting
- Expand Flyway schema for pages/chunks embeddings

Out of scope: chat API, admin UI auth

Acceptance:
- Re-run is idempotent
- Website and pricing chunks distinguishable by source_type
- Failed pages/jobs queryable

Verify: ./mvnw test (ingest fixtures); docker compose up postgres","Highest","repo:ata_rag_be mvp ingest be/ingestion-pipeline","13"
"[BE-1.1] Website crawler + change detection","Sub-task","Parent story: [BE-1] Ingestion pipeline
Implement HTTP crawler, robots/deny rules, PDF handler, content hash diff.","High","repo:ata_rag_be ingest","5"
"[BE-1.2] Chunking + pgvector schema","Sub-task","Parent story: [BE-1] Ingestion pipeline
Heading-aware chunks, Flyway pages/chunks/embeddings, incremental re-index.","High","repo:ata_rag_be ingest","5"
"[BE-1.3] Apps Script pricing ingest job","Sub-task","Parent story: [BE-1] Ingestion pipeline
Fetch PRICING_API_URL JSON (RAW/UABY/PROMOS/SA), normalize to chunks with source_type=pricing.","Highest","repo:ata_rag_be ingest pricing","3"
"[BE-2] RAG chat API — SSE + citations","Story","Branch: be/rag-chat-api
Repo: ata_rag_be
Depends on: be/ingestion-pipeline (indexed chunks)

Scope:
- Embedding + vector retrieval (top-k), confidence threshold default 0.55
- Grounded system prompt; refuse when low confidence
- POST /api/chat as SSE: sources → token* → done{confidence,answered}
- chat_queries logging for analytics
- Prompt/HTML sanitization
- Freeze OpenAPI contract for FE
- MVP is single-turn (conversation memory later)

Acceptance:
- Cited answer from seeded chunks
- Empty/low-confidence → graceful unknown message
- Streaming works through nginx (buffering off)

Verify: ./mvnw test; curl SSE smoke","Highest","repo:ata_rag_be mvp rag be/rag-chat-api","8"
"[BE-2.1] Retrieval + confidence","Sub-task","Parent story: [BE-2] RAG chat API
Vector search, score threshold, context assembly.","High","repo:ata_rag_be rag","3"
"[BE-2.2] SSE chat endpoint + LLM client","Sub-task","Parent story: [BE-2] RAG chat API
OpenAI-compatible client, SSE events, query logging.","Highest","repo:ata_rag_be rag","5"
"[BE-3] Admin API + observability hardening","Story","Branch: be/admin-observability
Repo: ata_rag_be
Depends on: be/rag-chat-api

Scope:
- Basic auth for /api/admin/*
- GET summary, failed-pages, questions (top + unanswered)
- POST sync + POST prices/sync triggers
- Micrometer metrics: latency, confidence, token usage; structured logs
- Production test/hardening for Coolify

Acceptance:
- Admin JSON matches docs/openapi.yaml
- /actuator/prometheus scrapable
- Sync endpoints enqueue jobs safely

Verify: ./mvnw test; curl admin with basic auth","Medium","repo:ata_rag_be mvp observability be/admin-observability","5"
"[BE-3.1] Admin endpoints + basic auth","Sub-task","Parent story: [BE-3] Admin API + observability
Implement summary/failed-pages/questions/sync/prices/sync with BASIC_AUTH_*.","High","repo:ata_rag_be admin","3"
"[BE-3.2] Metrics + production hardening","Sub-task","Parent story: [BE-3] Admin API + observability
Micrometer timers/counters, log fields, Coolify probe docs update.","Medium","repo:ata_rag_be observability","2"
